High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3,CLASS
14.81,14.81,14.81,200,14.81,14.81,14.81,14.81,14.81,14.81,14.81,BUY
14.81,14.81,14.81,100,14.81,14.81,14.81,14.81,14.81,14.81,14.81,BUY
14.81,14.81,14.81,400,14.81,14.81,14.81,14.81,14.81,14.81,14.81,HOLD
14.8,14.8,14.8,100,14.8,14.8,14.8,14.8,14.8,14.8,14.8,BUY
14.81,14.81,14.81,100,14.81,14.81,14.81,14.81,14.81,14.81,14.81,BUY
14.88,14.88,14.88,237,14.88,14.88,14.88,14.88,14.88,14.88,14.88,SELL
14.88,14.88,14.88,100,14.88,14.88,14.88,14.88,14.88,14.88,14.88,HOLD
14.81,14.81,14.81,521,14.81,14.81,14.81,14.81,14.81,14.81,14.81,BUY
14.85,14.85,14.85,100,14.85,14.85,14.85,14.85,14.85,14.85,14.85,HOLD
14.71,14.71,14.71,200,14.71,14.71,14.71,14.71,14.71,14.71,14.71,BUY
14.72,14.72,14.72,100,14.72,14.72,14.72,14.72,14.72,14.72,14.72,SELL
14.7,14.7,14.7,631,14.7,14.7,14.7,14.7,14.7,14.7,14.7,HOLD
14.86,14.84,14.86,1892,14.853333333333,14.866666666667,14.873333333333,14.886666666667,14.846666666667,14.833333333333,14.826666666667,SELL
14.81,14.81,14.81,279,14.81,14.81,14.81,14.81,14.81,14.81,14.81,SELL
14.87,14.85,14.87,1634,14.863333333333,14.876666666667,14.883333333333,14.896666666667,14.856666666667,14.843333333333,14.836666666667,BUY
14.86,14.83,14.86,1551,14.85,14.87,14.88,14.9,14.84,14.82,14.81,BUY
14.84,14.84,14.84,315,14.84,14.84,14.84,14.84,14.84,14.84,14.84,SELL
14.82,14.82,14.82,152,14.82,14.82,14.82,14.82,14.82,14.82,14.82,SELL
14.79,14.79,14.79,107,14.79,14.79,14.79,14.79,14.79,14.79,14.79,SELL
14.78,14.78,14.78,484,14.78,14.78,14.78,14.78,14.78,14.78,14.78,BUY
14.72,14.68,14.72,1759,14.706666666667,14.733333333333,14.746666666667,14.773333333333,14.693333333333,14.666666666667,14.653333333333,HOLD
14.83,14.83,14.83,670,14.83,14.83,14.83,14.83,14.83,14.83,14.83,HOLD
14.82,14.82,14.82,114,14.82,14.82,14.82,14.82,14.82,14.82,14.82,SELL
14.7,14.69,14.69,825,14.693333333333,14.696666666667,14.703333333333,14.706666666667,14.686666666667,14.683333333333,14.676666666667,SELL
14.68,14.68,14.68,742,14.68,14.68,14.68,14.68,14.68,14.68,14.68,HOLD
14.68,14.68,14.68,107,14.68,14.68,14.68,14.68,14.68,14.68,14.68,HOLD
14.67,14.67,14.67,1005,14.67,14.67,14.67,14.67,14.67,14.67,14.67,BUY
14.67,14.67,14.67,236,14.67,14.67,14.67,14.67,14.67,14.67,14.67,BUY
14.68,14.67,14.67,560,14.673333333333,14.676666666667,14.683333333333,14.686666666667,14.666666666667,14.663333333333,14.656666666667,BUY
14.7,14.7,14.7,592,14.7,14.7,14.7,14.7,14.7,14.7,14.7,SELL
14.7,14.68,14.68,419,14.686666666667,14.693333333333,14.706666666667,14.713333333333,14.673333333333,14.666666666667,14.653333333333,HOLD
14.73,14.7,14.7,1808,14.71,14.72,14.74,14.75,14.69,14.68,14.66,SELL
14.7,14.7,14.7,380,14.7,14.7,14.7,14.7,14.7,14.7,14.7,HOLD
14.68,14.67,14.67,655,14.673333333333,14.676666666667,14.683333333333,14.686666666667,14.666666666667,14.663333333333,14.656666666667,HOLD
